"Time Range","02/14/2022","10/14/2023"
"Name","ID","PPG","APG","OREB","TS%","Effective PTS","APG PTS","TOTAL OFFENSIVE PTS"
"Jaden McDaniels","1630183","12.063291139240507","1.8734177215189873","1.1645569620253164","0.594086261393699","0.06178134080185456","2.3417721518987342","0.7569620253164557","3.1605155180170446"
"Anthony Edwards","1630162","24.632911392405063","4.430379746835443","0.5949367088607594","0.5610678016152795","0.11914425381310932","5.537974683544303","0.3867088607594937","6.043827798116906"
"Tyrese Haliburton","1630169","20.714285714285715","10.446428571428571","0.5892857142857143","0.614978032447283","0.10981750579415768","13.058035714285714","0.3830357142857143","13.550888934365586"
"Alperen Sengun","1630578","14.786666666666667","3.88","3.2266666666666666","0.587820631616973","0.0749302391337038","4.85","2.0973333333333333","7.022263572467037"
"Aaron Nesmith","1630174","10.10958904109589","1.3424657534246576","0.8493150684931506","0.5408398468998178","0.04713507404488257","1.678082191780822","0.552054794520548","2.2772720603462524"
"Franz Wagner","1630532","18.5625","3.5375","0.875","0.597492329463934","0.09561164970408859","4.421875","0.56875","5.086236649704088"
"Quentin Grimes","1629656","11.253521126760564","2.112676056338028","0.6901408450704225","0.6184548713731676","0.059998232421947656","2.640845070422535","0.44859154929577466","3.1494348521402573"
"Jalen Green","1630224","22.144736842105264","3.6973684210526314","0.5657894736842105","0.5314675048586966","0.10145868995884602","4.621710526315789","0.36776315789473685","5.0909323741693715"
"Jabari Smith Jr.","1631095","12.784810126582279","1.2784810126582278","1.5443037974683544","0.5167687290237857","0.05695508689589955","1.5981012658227847","1.0037974683544304","2.6588538210731145"
"RJ Barrett","1629628","19.602739726027398","2.7534246575342465","0.821917808219178","0.5239010433149873","0.08853358443360261","3.441780821917808","0.5342465753424658","4.064560981693877"
